"REF_pm";"LIB_SECTEUR_ACTIVITE";"LIB_ACTIVITE";"LIB_PRODUIT";"BRANCHE";"LIB_SOUS_BRANCHE";"age_contract";"category";"candidate_product";"Bought";"score";"email"
"103147";"SERVICES AUXILIAIRES DES TRANSPORTS";"SERVICES PORTUAIRES, MARITIMES ET FLUVIAUX";"RESPONSABILITE CIVILE";"RISQUES DIVERS";"RESPONSABILITE CIVILE";"0.0";"Transport & Logistics";"RESPONSABILITE CIVILE";"1";"0.7626929037867823";"ahmed10@gmail.com"
"103147";"SERVICES AUXILIAIRES DES TRANSPORTS";"SERVICES PORTUAIRES, MARITIMES ET FLUVIAUX";"RESPONSABILITE CIVILE";"RISQUES DIVERS";"RESPONSABILITE CIVILE";"0.0";"Transport & Logistics";"ASSISTANCES EN VOYAGES - PLAN BASIQUE";"0";"0.1747755562225776";"ahmed10@gmail.com"
"103147";"SERVICES AUXILIAIRES DES TRANSPORTS";"SERVICES PORTUAIRES, MARITIMES ET FLUVIAUX";"RESPONSABILITE CIVILE";"RISQUES DIVERS";"RESPONSABILITE CIVILE";"0.0";"Transport & Logistics";"POLICE AU VOYAGE(CORPS DE PLAISANCE)";"0";"0.1747755562225776";"ahmed10@gmail.com"
"103147";"SERVICES AUXILIAIRES DES TRANSPORTS";"SERVICES PORTUAIRES, MARITIMES ET FLUVIAUX";"RESPONSABILITE CIVILE";"RISQUES DIVERS";"RESPONSABILITE CIVILE";"0.0";"Transport & Logistics";"POLICE AU VOYAGE(CORPS DE PECHE)";"0";"0.1747755562225776";"ahmed10@gmail.com"
"103147";"SERVICES AUXILIAIRES DES TRANSPORTS";"SERVICES PORTUAIRES, MARITIMES ET FLUVIAUX";"RESPONSABILITE CIVILE";"RISQUES DIVERS";"RESPONSABILITE CIVILE";"0.0";"Transport & Logistics";"TRANSPORT CORPS AVIATION";"0";"0.1747755562225776";"ahmed10@gmail.com"
"103147";"SERVICES AUXILIAIRES DES TRANSPORTS";"SERVICES PORTUAIRES, MARITIMES ET FLUVIAUX";"RESPONSABILITE CIVILE";"RISQUES DIVERS";"RESPONSABILITE CIVILE";"0.0";"Transport & Logistics";"POLICE AU VOYAGE(FACULTE MARITIME)";"0";"0.1747755562225776";"ahmed10@gmail.com"
"103147";"SERVICES AUXILIAIRES DES TRANSPORTS";"SERVICES PORTUAIRES, MARITIMES ET FLUVIAUX";"RESPONSABILITE CIVILE";"RISQUES DIVERS";"RESPONSABILITE CIVILE";"0.0";"Transport & Logistics";"POLICE AU VOYAGE(FACULTE AERIEN)";"0";"0.1747755562225776";"ahmed10@gmail.com"
"103147";"SERVICES AUXILIAIRES DES TRANSPORTS";"SERVICES PORTUAIRES, MARITIMES ET FLUVIAUX";"RESPONSABILITE CIVILE";"RISQUES DIVERS";"RESPONSABILITE CIVILE";"0.0";"Transport & Logistics";"POLICE AU VOYAGE(FACULTE TERRESTRE)";"0";"0.1747755562225776";"ahmed10@gmail.com"
"103147";"SERVICES AUXILIAIRES DES TRANSPORTS";"SERVICES PORTUAIRES, MARITIMES ET FLUVIAUX";"OMNICANAL AUTOMOBILE PACK2";"AUTOMOBILE";"AUTOMOBILE";"0.0";"Transport & Logistics";"ASSISTANCES EN VOYAGES - PLAN BASIQUE";"0";"0.1355579831452651";"ahmed10@gmail.com"
"103147";"SERVICES AUXILIAIRES DES TRANSPORTS";"SERVICES PORTUAIRES, MARITIMES ET FLUVIAUX";"OMNICANAL AUTOMOBILE PACK2";"AUTOMOBILE";"AUTOMOBILE";"0.0";"Transport & Logistics";"POLICE AU VOYAGE(CORPS DE PLAISANCE)";"0";"0.1355579831452651";"ahmed10@gmail.com"
"103147";"SERVICES AUXILIAIRES DES TRANSPORTS";"SERVICES PORTUAIRES, MARITIMES ET FLUVIAUX";"OMNICANAL AUTOMOBILE PACK2";"AUTOMOBILE";"AUTOMOBILE";"0.0";"Transport & Logistics";"POLICE AU VOYAGE(CORPS DE PECHE)";"0";"0.1355579831452651";"ahmed10@gmail.com"
"103147";"SERVICES AUXILIAIRES DES TRANSPORTS";"SERVICES PORTUAIRES, MARITIMES ET FLUVIAUX";"OMNICANAL AUTOMOBILE PACK2";"AUTOMOBILE";"AUTOMOBILE";"0.0";"Transport & Logistics";"TRANSPORT CORPS AVIATION";"0";"0.1355579831452651";"ahmed10@gmail.com"
"103147";"SERVICES AUXILIAIRES DES TRANSPORTS";"SERVICES PORTUAIRES, MARITIMES ET FLUVIAUX";"OMNICANAL AUTOMOBILE PACK2";"AUTOMOBILE";"AUTOMOBILE";"0.0";"Transport & Logistics";"POLICE AU VOYAGE(FACULTE MARITIME)";"0";"0.1355579831452651";"ahmed10@gmail.com"
"103147";"SERVICES AUXILIAIRES DES TRANSPORTS";"SERVICES PORTUAIRES, MARITIMES ET FLUVIAUX";"OMNICANAL AUTOMOBILE PACK2";"AUTOMOBILE";"AUTOMOBILE";"0.0";"Transport & Logistics";"POLICE AU VOYAGE(FACULTE AERIEN)";"0";"0.1355579831452651";"ahmed10@gmail.com"
"103147";"SERVICES AUXILIAIRES DES TRANSPORTS";"SERVICES PORTUAIRES, MARITIMES ET FLUVIAUX";"OMNICANAL AUTOMOBILE PACK2";"AUTOMOBILE";"AUTOMOBILE";"0.0";"Transport & Logistics";"POLICE AU VOYAGE(FACULTE TERRESTRE)";"0";"0.1355579831452651";"ahmed10@gmail.com"
"103147";"SERVICES AUXILIAIRES DES TRANSPORTS";"SERVICES PORTUAIRES, MARITIMES ET FLUVIAUX";"AUTOMOBILE";"AUTOMOBILE";"AUTOMOBILE";"0.0";"Transport & Logistics";"POLICE AU VOYAGE(FACULTE MARITIME)";"0";"0.0";"ahmed10@gmail.com"
"103147";"SERVICES AUXILIAIRES DES TRANSPORTS";"SERVICES PORTUAIRES, MARITIMES ET FLUVIAUX";"AUTOMOBILE";"AUTOMOBILE";"AUTOMOBILE";"0.0";"Transport & Logistics";"POLICE AU VOYAGE(FACULTE AERIEN)";"0";"0.0";"ahmed10@gmail.com"
"103147";"SERVICES AUXILIAIRES DES TRANSPORTS";"SERVICES PORTUAIRES, MARITIMES ET FLUVIAUX";"AUTOMOBILE";"AUTOMOBILE";"AUTOMOBILE";"0.0";"Transport & Logistics";"POLICE AU VOYAGE(FACULTE TERRESTRE)";"0";"0.0";"ahmed10@gmail.com"
"103147";"SERVICES AUXILIAIRES DES TRANSPORTS";"SERVICES PORTUAIRES, MARITIMES ET FLUVIAUX";"AUTOMOBILE";"AUTOMOBILE";"AUTOMOBILE";"0.0";"Transport & Logistics";"ASSISTANCES EN VOYAGES - PLAN BASIQUE";"0";"0.0";"ahmed10@gmail.com"
"103147";"SERVICES AUXILIAIRES DES TRANSPORTS";"SERVICES PORTUAIRES, MARITIMES ET FLUVIAUX";"AUTOMOBILE";"AUTOMOBILE";"AUTOMOBILE";"0.0";"Transport & Logistics";"POLICE AU VOYAGE(CORPS DE PLAISANCE)";"0";"0.0";"ahmed10@gmail.com"
"103147";"SERVICES AUXILIAIRES DES TRANSPORTS";"SERVICES PORTUAIRES, MARITIMES ET FLUVIAUX";"AUTOMOBILE";"AUTOMOBILE";"AUTOMOBILE";"0.0";"Transport & Logistics";"POLICE AU VOYAGE(CORPS DE PECHE)";"0";"0.0";"ahmed10@gmail.com"
"103147";"SERVICES AUXILIAIRES DES TRANSPORTS";"SERVICES PORTUAIRES, MARITIMES ET FLUVIAUX";"AUTOMOBILE";"AUTOMOBILE";"AUTOMOBILE";"0.0";"Transport & Logistics";"TRANSPORT CORPS AVIATION";"0";"0.0";"ahmed10@gmail.com"
"103797";"CONSTRUCTION";"CONSTRUCTION DE BÂTIMENTS DIVERS";"AUTOMOBILE";"AUTOMOBILE";"AUTOMOBILE";"0.0";"Construction & Real Estate";"AUTOMOBILE";"1";"0.9999999999579908";"ahmed10@gmail.com"
"103797";"CONSTRUCTION";"CONSTRUCTION DE BÂTIMENTS DIVERS";"AUTOMOBILE";"AUTOMOBILE";"AUTOMOBILE";"0.0";"Construction & Real Estate";"RESPONSABILITE DECENNALE";"0";"0.0923731306627286";"ahmed10@gmail.com"
"103797";"CONSTRUCTION";"CONSTRUCTION DE BÂTIMENTS DIVERS";"AUTOMOBILE";"AUTOMOBILE";"AUTOMOBILE";"0.0";"Construction & Real Estate";"TOUS RISQUES CHANTIER";"0";"0.041286283837441";"ahmed10@gmail.com"
"103797";"CONSTRUCTION";"CONSTRUCTION DE BÂTIMENTS DIVERS";"AUTOMOBILE";"AUTOMOBILE";"AUTOMOBILE";"0.0";"Construction & Real Estate";"RC ENTREPRISE DE BATIMENT ET TRAVAUX PUBLIC";"0";"0.0394284525852719";"ahmed10@gmail.com"
"103797";"CONSTRUCTION";"CONSTRUCTION DE BÂTIMENTS DIVERS";"AUTOMOBILE";"AUTOMOBILE";"AUTOMOBILE";"0.0";"Construction & Real Estate";"MULTIRISQUES PROFESSIONNELLES";"0";"0.0";"ahmed10@gmail.com"
"107750";"COMMERCE DE GROS ET INTERMÉDIAIRES DU COMMERCE";"AUTRES INTERMÉDIAIRES SPÉCIALISÉS DU COMMERCE";"AUTOMOBILE II";"AUTOMOBILE";"AUTOMOBILE";"0.0";"Commerce & Services";"AUTOMOBILE II";"1";"0.9999999999534144";"ahmed10@gmail.com"
"107750";"COMMERCE DE GROS ET INTERMÉDIAIRES DU COMMERCE";"AUTRES INTERMÉDIAIRES SPÉCIALISÉS DU COMMERCE";"AUTOMOBILE II";"AUTOMOBILE";"AUTOMOBILE";"0.0";"Commerce & Services";"AUTOMOBILE";"0";"0.181429528347625";"ahmed10@gmail.com"
"107750";"COMMERCE DE GROS ET INTERMÉDIAIRES DU COMMERCE";"AUTRES INTERMÉDIAIRES SPÉCIALISÉS DU COMMERCE";"AUTOMOBILE II";"AUTOMOBILE";"AUTOMOBILE";"0.0";"Commerce & Services";"AUTOMOBILE LEASING";"0";"0.1528991377773531";"ahmed10@gmail.com"
"107750";"COMMERCE DE GROS ET INTERMÉDIAIRES DU COMMERCE";"AUTRES INTERMÉDIAIRES SPÉCIALISÉS DU COMMERCE";"AUTOMOBILE II";"AUTOMOBILE";"AUTOMOBILE";"0.0";"Commerce & Services";"INCENDIE COMMERCIAL / LEASING";"0";"0.0326041714034515";"ahmed10@gmail.com"
"107750";"COMMERCE DE GROS ET INTERMÉDIAIRES DU COMMERCE";"AUTRES INTERMÉDIAIRES SPÉCIALISÉS DU COMMERCE";"AUTOMOBILE II";"AUTOMOBILE";"AUTOMOBILE";"0.0";"Commerce & Services";"MULTIRISQUES PROFESSIONNELLES";"0";"0.0";"ahmed10@gmail.com"
"111777";"";"NON DEFINI";"AUTOMOBILE";"AUTOMOBILE";"AUTOMOBILE";"0.0";"Other";"AUTOMOBILE";"1";"0.9999999999578936";"ahmed10@gmail.com"
"111777";"";"NON DEFINI";"AUTOMOBILE";"AUTOMOBILE";"AUTOMOBILE";"0.0";"Other";"RESPONSABILITE CIVILE";"0";"0.0";"ahmed10@gmail.com"
"112009";"SERVICES PERSONNELS";"AUTRES SERVICES PERSONNELS";"AUTOMOBILE";"AUTOMOBILE";"AUTOMOBILE";"0.0";"Commerce & Services";"AUTOMOBILE";"1";"0.999999999956841";"ahmed10@gmail.com"
"112009";"SERVICES PERSONNELS";"AUTRES SERVICES PERSONNELS";"AUTOMOBILE";"AUTOMOBILE";"AUTOMOBILE";"0.0";"Commerce & Services";"AUTOMOBILE LEASING";"0";"0.1225798269029237";"ahmed10@gmail.com"
"112009";"SERVICES PERSONNELS";"AUTRES SERVICES PERSONNELS";"AUTOMOBILE";"AUTOMOBILE";"AUTOMOBILE";"0.0";"Commerce & Services";"INCENDIE COMMERCIAL / LEASING";"0";"0.0118613077279309";"ahmed10@gmail.com"
"112009";"SERVICES PERSONNELS";"AUTRES SERVICES PERSONNELS";"AUTOMOBILE";"AUTOMOBILE";"AUTOMOBILE";"0.0";"Commerce & Services";"MULTIRISQUES PROFESSIONNELLES";"0";"0.0";"ahmed10@gmail.com"
"12068";"SERVICES PERSONNELS";"AUTRES SERVICES PERSONNELS";"AUTOMOBILE II";"AUTOMOBILE";"AUTOMOBILE";"0.0";"Commerce & Services";"AUTOMOBILE II";"1";"0.9999999999530303";"ahmed10@gmail.com"
"12068";"SERVICES PERSONNELS";"AUTRES SERVICES PERSONNELS";"AUTOMOBILE II";"AUTOMOBILE";"AUTOMOBILE";"0.0";"Commerce & Services";"AUTOMOBILE";"0";"0.1742290774015057";"ahmed10@gmail.com"
"12068";"SERVICES PERSONNELS";"AUTRES SERVICES PERSONNELS";"AUTOMOBILE II";"AUTOMOBILE";"AUTOMOBILE";"0.0";"Commerce & Services";"AUTOMOBILE LEASING";"0";"0.1522552970783609";"ahmed10@gmail.com"
"12068";"SERVICES PERSONNELS";"AUTRES SERVICES PERSONNELS";"AUTOMOBILE II";"AUTOMOBILE";"AUTOMOBILE";"0.0";"Commerce & Services";"INCENDIE COMMERCIAL / LEASING";"0";"0.0250515350419937";"ahmed10@gmail.com"
"12068";"SERVICES PERSONNELS";"AUTRES SERVICES PERSONNELS";"AUTOMOBILE II";"AUTOMOBILE";"AUTOMOBILE";"0.0";"Commerce & Services";"MULTIRISQUES PROFESSIONNELLES";"0";"0.0";"ahmed10@gmail.com"
"12112";"INTERMÉDIATION FINANCIÈRE";"CRÉDIT BAIL";"MULTIRISQUES INFORMATIQUES";"ENGINEERING";"MULTIRIQUES INFORMATIQUES";"0.0";"Finance & Assurance";"MULTIRISQUES INFORMATIQUES";"1";"0.9999999999620504";"ahmed10@gmail.com"
"12112";"INTERMÉDIATION FINANCIÈRE";"CRÉDIT BAIL";"MULTIRISQUES PROFESSIONNELLES CENTRALISE";"INCENDIE";"MULTIRISQUES PROFESSIONNELLES";"0.0";"Finance & Assurance";"MULTIRISQUES PROFESSIONNELLES CENTRALISE";"1";"0.9595425027382052";"ahmed10@gmail.com"
"12112";"INTERMÉDIATION FINANCIÈRE";"CRÉDIT BAIL";"AUTOMOBILE";"AUTOMOBILE";"AUTOMOBILE";"0.0";"Finance & Assurance";"AUTOMOBILE";"1";"0.9587916649995074";"ahmed10@gmail.com"
"12112";"INTERMÉDIATION FINANCIÈRE";"CRÉDIT BAIL";"AUTOMOBILE II";"AUTOMOBILE";"AUTOMOBILE";"0.0";"Finance & Assurance";"AUTOMOBILE II";"1";"0.9450780283156563";"ahmed10@gmail.com"
"12112";"INTERMÉDIATION FINANCIÈRE";"CRÉDIT BAIL";"INDIVIDUELLE ACCIDENTS";"RISQUES DIVERS";"INDIVIDUELLE ACCIDENTS";"0.0";"Finance & Assurance";"INDIVIDUELLE ACCIDENTS";"1";"0.825100622371504";"ahmed10@gmail.com"
"12112";"INTERMÉDIATION FINANCIÈRE";"CRÉDIT BAIL";"RESPONSABILITE CIVILE";"RISQUES DIVERS";"RESPONSABILITE CIVILE";"0.0";"Finance & Assurance";"RESPONSABILITE CIVILE";"1";"0.7017914590655385";"ahmed10@gmail.com"
"12112";"INTERMÉDIATION FINANCIÈRE";"CRÉDIT BAIL";"AUTOMOBILE LEASING";"AUTOMOBILE";"AUTOMOBILE";"0.0";"Finance & Assurance";"AUTOMOBILE LEASING";"1";"0.6578737655766311";"ahmed10@gmail.com"
"12112";"INTERMÉDIATION FINANCIÈRE";"CRÉDIT BAIL";"INDIVIDUELLE ACCIDENTS";"RISQUES DIVERS";"INDIVIDUELLE ACCIDENTS";"0.0";"Finance & Assurance";"SANTE ET PREVOYANCE";"0";"0.232881759972125";"ahmed10@gmail.com"
"12112";"INTERMÉDIATION FINANCIÈRE";"CRÉDIT BAIL";"INDIVIDUELLE ACCIDENTS";"RISQUES DIVERS";"INDIVIDUELLE ACCIDENTS";"0.0";"Finance & Assurance";"ASSURANCE VIE COMPLEMENT RETRAITE - HORIZON+ (AS)";"0";"0.2017683448362325";"ahmed10@gmail.com"
"12112";"INTERMÉDIATION FINANCIÈRE";"CRÉDIT BAIL";"INDIVIDUELLE ACCIDENTS";"RISQUES DIVERS";"INDIVIDUELLE ACCIDENTS";"0.0";"Finance & Assurance";"ASSURANCE VIE COMPLEMENT RETRAITE - HORIZON";"0";"0.2017683448362325";"ahmed10@gmail.com"
"12112";"INTERMÉDIATION FINANCIÈRE";"CRÉDIT BAIL";"MULTIRISQUES PROFESSIONNELLES CENTRALISE";"INCENDIE";"MULTIRISQUES PROFESSIONNELLES";"0.0";"Finance & Assurance";"SANTE ET PREVOYANCE";"0";"0.2002919843794952";"ahmed10@gmail.com"
"12112";"INTERMÉDIATION FINANCIÈRE";"CRÉDIT BAIL";"AUTOMOBILE LEASING";"AUTOMOBILE";"AUTOMOBILE";"0.0";"Finance & Assurance";"SANTE ET PREVOYANCE";"0";"0.1648736850479905";"ahmed10@gmail.com"
"12112";"INTERMÉDIATION FINANCIÈRE";"CRÉDIT BAIL";"MULTIRISQUES PROFESSIONNELLES CENTRALISE";"INCENDIE";"MULTIRISQUES PROFESSIONNELLES";"0.0";"Finance & Assurance";"ASSURANCE VIE COMPLEMENT RETRAITE - HORIZON+ (AS)";"0";"0.1620062204572984";"ahmed10@gmail.com"
"12112";"INTERMÉDIATION FINANCIÈRE";"CRÉDIT BAIL";"MULTIRISQUES PROFESSIONNELLES CENTRALISE";"INCENDIE";"MULTIRISQUES PROFESSIONNELLES";"0.0";"Finance & Assurance";"ASSURANCE VIE COMPLEMENT RETRAITE - HORIZON";"0";"0.1620062204572984";"ahmed10@gmail.com"
"12112";"INTERMÉDIATION FINANCIÈRE";"CRÉDIT BAIL";"RESPONSABILITE CIVILE";"RISQUES DIVERS";"RESPONSABILITE CIVILE";"0.0";"Finance & Assurance";"SANTE ET PREVOYANCE";"0";"0.161357821471572";"ahmed10@gmail.com"
"12112";"INTERMÉDIATION FINANCIÈRE";"CRÉDIT BAIL";"MULTIRISQUES INFORMATIQUES";"ENGINEERING";"MULTIRIQUES INFORMATIQUES";"0.0";"Finance & Assurance";"SANTE ET PREVOYANCE";"0";"0.1555108149135046";"ahmed10@gmail.com"
"12112";"INTERMÉDIATION FINANCIÈRE";"CRÉDIT BAIL";"RESPONSABILITE CIVILE";"RISQUES DIVERS";"RESPONSABILITE CIVILE";"0.0";"Finance & Assurance";"ASSURANCE VIE COMPLEMENT RETRAITE - HORIZON";"0";"0.1454545915448974";"ahmed10@gmail.com"
"12112";"INTERMÉDIATION FINANCIÈRE";"CRÉDIT BAIL";"RESPONSABILITE CIVILE";"RISQUES DIVERS";"RESPONSABILITE CIVILE";"0.0";"Finance & Assurance";"ASSURANCE VIE COMPLEMENT RETRAITE - HORIZON+ (AS)";"0";"0.1454545915448974";"ahmed10@gmail.com"
"12112";"INTERMÉDIATION FINANCIÈRE";"CRÉDIT BAIL";"MULTIRISQUES INFORMATIQUES";"ENGINEERING";"MULTIRIQUES INFORMATIQUES";"0.0";"Finance & Assurance";"ASSURANCE VIE COMPLEMENT RETRAITE - HORIZON+ (AS)";"0";"0.1425111915757523";"ahmed10@gmail.com"
"12112";"INTERMÉDIATION FINANCIÈRE";"CRÉDIT BAIL";"MULTIRISQUES INFORMATIQUES";"ENGINEERING";"MULTIRIQUES INFORMATIQUES";"0.0";"Finance & Assurance";"ASSURANCE VIE COMPLEMENT RETRAITE - HORIZON";"0";"0.1425111915757523";"ahmed10@gmail.com"
"12112";"INTERMÉDIATION FINANCIÈRE";"CRÉDIT BAIL";"AUTOMOBILE II";"AUTOMOBILE";"AUTOMOBILE";"0.0";"Finance & Assurance";"SANTE ET PREVOYANCE";"0";"0.1399276732466771";"ahmed10@gmail.com"
"12112";"INTERMÉDIATION FINANCIÈRE";"CRÉDIT BAIL";"AUTOMOBILE";"AUTOMOBILE";"AUTOMOBILE";"0.0";"Finance & Assurance";"SANTE ET PREVOYANCE";"0";"0.1045627787678296";"ahmed10@gmail.com"
"12112";"INTERMÉDIATION FINANCIÈRE";"CRÉDIT BAIL";"AUTOMOBILE LEASING";"AUTOMOBILE";"AUTOMOBILE";"0.0";"Finance & Assurance";"ASSURANCE VIE COMPLEMENT RETRAITE - HORIZON+ (AS)";"0";"0.0947439659954923";"ahmed10@gmail.com"
"12112";"INTERMÉDIATION FINANCIÈRE";"CRÉDIT BAIL";"AUTOMOBILE LEASING";"AUTOMOBILE";"AUTOMOBILE";"0.0";"Finance & Assurance";"ASSURANCE VIE COMPLEMENT RETRAITE - HORIZON";"0";"0.0947439659954923";"ahmed10@gmail.com"
"12112";"INTERMÉDIATION FINANCIÈRE";"CRÉDIT BAIL";"AUTOMOBILE II";"AUTOMOBILE";"AUTOMOBILE";"0.0";"Finance & Assurance";"ASSURANCE VIE COMPLEMENT RETRAITE - HORIZON";"0";"0.0675151810275049";"ahmed10@gmail.com"
"12112";"INTERMÉDIATION FINANCIÈRE";"CRÉDIT BAIL";"AUTOMOBILE II";"AUTOMOBILE";"AUTOMOBILE";"0.0";"Finance & Assurance";"ASSURANCE VIE COMPLEMENT RETRAITE - HORIZON+ (AS)";"0";"0.0675151810275049";"ahmed10@gmail.com"
"12112";"INTERMÉDIATION FINANCIÈRE";"CRÉDIT BAIL";"AUTOMOBILE";"AUTOMOBILE";"AUTOMOBILE";"0.0";"Finance & Assurance";"ASSURANCE VIE COMPLEMENT RETRAITE - HORIZON+ (AS)";"0";"0.0";"ahmed10@gmail.com"
"12112";"INTERMÉDIATION FINANCIÈRE";"CRÉDIT BAIL";"AUTOMOBILE";"AUTOMOBILE";"AUTOMOBILE";"0.0";"Finance & Assurance";"ASSURANCE VIE COMPLEMENT RETRAITE - HORIZON";"0";"0.0";"ahmed10@gmail.com"
"12145";"TRAVAIL DU BOIS ET FABRICATION D ARTICLES EN BOIS";"FABRICATION D EMBALLAGES EN BOIS";"AUTOMOBILE";"AUTOMOBILE";"AUTOMOBILE";"0.0";"Industries & Manufacturing";"AUTOMOBILE";"1";"0.9999999999574376";"ahmed10@gmail.com"
"12145";"TRAVAIL DU BOIS ET FABRICATION D ARTICLES EN BOIS";"FABRICATION D EMBALLAGES EN BOIS";"AUTOMOBILE";"AUTOMOBILE";"AUTOMOBILE";"0.0";"Industries & Manufacturing";"RC ENTRPRISES INDUSTRIELLES";"0";"0.0";"ahmed10@gmail.com"
"12145";"TRAVAIL DU BOIS ET FABRICATION D ARTICLES EN BOIS";"FABRICATION D EMBALLAGES EN BOIS";"AUTOMOBILE";"AUTOMOBILE";"AUTOMOBILE";"0.0";"Industries & Manufacturing";"BRIS DE MACHINES";"0";"0.0";"ahmed10@gmail.com"
"12145";"TRAVAIL DU BOIS ET FABRICATION D ARTICLES EN BOIS";"FABRICATION D EMBALLAGES EN BOIS";"AUTOMOBILE";"AUTOMOBILE";"AUTOMOBILE";"0.0";"Industries & Manufacturing";"INCENDIE RISQUES INDUSTRIEL";"0";"0.0";"ahmed10@gmail.com"
"12169";"INTERMÉDIATION FINANCIÈRE";"CRÉDIT BAIL";"RC ENTREPRISE DE BATIMENT ET TRAVAUX PUBLIC";"RISQUES DIVERS";"RESPONSABILITE CIVILE";"0.0";"Finance & Assurance";"RC ENTREPRISE DE BATIMENT ET TRAVAUX PUBLIC";"1";"0.9999999999214572";"ahmed10@gmail.com"
"12169";"INTERMÉDIATION FINANCIÈRE";"CRÉDIT BAIL";"RC ENTREPRISE DE BATIMENT ET TRAVAUX PUBLIC";"RISQUES DIVERS";"RESPONSABILITE CIVILE";"0.0";"Finance & Assurance";"SANTE ET PREVOYANCE";"0";"0.0291968209524925";"ahmed10@gmail.com"
"12169";"INTERMÉDIATION FINANCIÈRE";"CRÉDIT BAIL";"RC ENTREPRISE DE BATIMENT ET TRAVAUX PUBLIC";"RISQUES DIVERS";"RESPONSABILITE CIVILE";"0.0";"Finance & Assurance";"ASSURANCE VIE COMPLEMENT RETRAITE - HORIZON";"0";"0.0";"ahmed10@gmail.com"
